,AREA,PRICE,STATE,CITY,DISTRICT,YEAR,CONDITION,ENERGYSCORE,LINK
0,288.0,1152,HARJUMAA, TALLINN, NÕMME,,KESKMINE,,https://www.kv.ee/soodsaima-koguhinnaga-1m2-kohta-soe-laopind-tallin-3201123.html?nr=1&search_key=1ec02901cb97b699cb2c574ae226502a
1,100.0,1800,HARJUMAA, TALLINN, KESKLINN,2019.0,UUS,,https://www.kv.ee/www-portofranco-eeporto-franco-on-multifunktsionaa-2911830.html?nr=2&search_key=1ec02901cb97b699cb2c574ae226502a
2,400.0,6800,HARJUMAA, TALLINN, KESKLINN,2019.0,UUS,,https://www.kv.ee/www-portofranco-eeporto-franco-on-multifunktsionaa-3073580.html?nr=3&search_key=1ec02901cb97b699cb2c574ae226502a
3,218.0,3706,HARJUMAA, TALLINN, KESKLINN,2014.0,VALMIS,C,https://www.kv.ee/esinduslik-ilusa-siseviimistlusega-buroo-navigator-3196073.html?nr=4&search_key=1ec02901cb97b699cb2c574ae226502a
4,110.0,400,HARJUMAA, TALLINN, MUSTAMÄE,2005.0,HEAS KORRAS,,https://www.kv.ee/uurile-antakse-kadaka-tee-42n-arimaja-kogu-kolmas-3142732.html?nr=5&search_key=1ec02901cb97b699cb2c574ae226502a
5,279.0,7264,HARJUMAA, TALLINN, KESKLINN,,,C,https://www.kv.ee/uurile-anda-esinduslik-suureparaste-vaadetega-buro-3197347.html?nr=6&search_key=1ec02901cb97b699cb2c574ae226502a
6,25.0,180,HARJUMAA, TALLINN, MUSTAMÄE,,KESKMINE,,https://www.kv.ee/anda-uurile-aripind-kassi-4-arimajas-mustamael-uld-3178895.html?nr=7&search_key=1ec02901cb97b699cb2c574ae226502a
7,620.0,5270,HARJUMAA, TALLINN, MUSTAMÄE,,,,https://www.kv.ee/valmib-juba-2020-alguses-uurile-anda-uus-esindusli-3199613.html?nr=8&search_key=1ec02901cb97b699cb2c574ae226502a
8,805.0,10274,HARJUMAA, TALLINN, KESKLINN,2020.0,UUS,A,https://www.kv.ee/uurile-anda-buroo-2020-aasta-septembris-valmivas-e-3200570.html?nr=9&search_key=1ec02901cb97b699cb2c574ae226502a
9,2880.0,6768,HARJUMAA, TALLINN, NÕMME,,RENOVEERITUD,,https://www.kv.ee/vabaneb-03-marts-2020uldkirjelduslao-ja-tootmisruu-2959742.html?nr=10&search_key=1ec02901cb97b699cb2c574ae226502a
10,30.0,500,HARJUMAA, TALLINN, NÕMME,2003.0,,,https://www.kv.ee/uurida-laagri-maksimarketi-kaubanduskeskuses-30-m-3175168.html?nr=11&search_key=1ec02901cb97b699cb2c574ae226502a
11,110.0,1766,HARJUMAA, TALLINN, KESKLINN,2020.0,UUS,C,https://www.kv.ee/uurile-anda-ilus-buroo-2020-a-alguses-valmivas-par-3182465.html?nr=12&search_key=1ec02901cb97b699cb2c574ae226502a
12,224.0,1568,HARJUMAA, TALLINN, KESKLINN,,HEAS KORRAS,,https://www.kv.ee/uurile-anda-tallinna-kesklinnas-aadressil-parnu-mn-3182175.html?nr=13&search_key=1ec02901cb97b699cb2c574ae226502a
13,22.0,154,HARJUMAA, TALLINN, KESKLINN,,,,https://www.kv.ee/uurile-anda-hubane-kontor-kesklinnas-suured-aknad-3194029.html?nr=14&search_key=1ec02901cb97b699cb2c574ae226502a
