area,price,state,city,district,link
288,1152,Harjumaa, Tallinn, Nõmme,https://www.kv.ee/soodsaima-koguhinnaga-1m2-kohta-soe-laopind-tallin-3201123.html?nr=1&search_key=1ec02901cb97b699cb2c574ae226502a
100,1800,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/www-portofranco-eeporto-franco-on-multifunktsionaa-2911830.html?nr=2&search_key=1ec02901cb97b699cb2c574ae226502a
400,6800,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/www-portofranco-eeporto-franco-on-multifunktsionaa-3073580.html?nr=3&search_key=1ec02901cb97b699cb2c574ae226502a
1100,13200,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/kiirusta-sest-ule-poole-majast-on-juba-valja-uurit-3116269.html?nr=4&search_key=1ec02901cb97b699cb2c574ae226502a
22,154,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-hubane-kontor-kesklinnas-suured-aknad-3194029.html?nr=5&search_key=1ec02901cb97b699cb2c574ae226502a
397,3029,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/hea-nahtavusega-ja-energiasaastlik-hoone-pakume-ta-3172882.html?nr=6&search_key=1ec02901cb97b699cb2c574ae226502a
180,2882,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-ilus-buroo-2020-a-alguses-valmivas-par-3160421.html?nr=7&search_key=1ec02901cb97b699cb2c574ae226502a
2880,6768,Harjumaa, Tallinn, Nõmme,https://www.kv.ee/vabaneb-03-marts-2020uldkirjelduslao-ja-tootmisruu-2959742.html?nr=8&search_key=1ec02901cb97b699cb2c574ae226502a
218,3706,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/esinduslik-ilusa-siseviimistlusega-buroo-navigator-3196073.html?nr=9&search_key=1ec02901cb97b699cb2c574ae226502a
500,6000,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/kiirusta-ule-poole-hoonest-on-juba-valja-uuritud-u-3116270.html?nr=10&search_key=1ec02901cb97b699cb2c574ae226502a
1323,8830,Harjumaa, Tallinn, Haabersti,https://www.kv.ee/paldiski-mnt-aarde-on-rajamisel-uus-ari-teenindus-3138901.html?nr=11&search_key=1ec02901cb97b699cb2c574ae226502a
293,2205,Harjumaa, Tallinn, Lasnamäe,https://www.kv.ee/hea-nahtavusega-ja-energiasaastlik-hoone-pakume-ta-3172880.html?nr=12&search_key=1ec02901cb97b699cb2c574ae226502a
138,580,Tartumaa, Tartu, Tartu linn,https://www.kv.ee/anda-uurile-ruumid-tahe-tanaval-ruumid-sobivad-kas-3199390.html?nr=13&search_key=1ec02901cb97b699cb2c574ae226502a
105,735,Harjumaa, Tallinn, Haabersti,https://www.kv.ee/uurile-anda-esinduslik-ja-suureparase-nahtavusega-3169650.html?nr=14&search_key=1ec02901cb97b699cb2c574ae226502a
27,54,Pärnumaa, Pärnu, Pärnu linn,https://www.kv.ee/pildid-on-tehtud-kui-remont-oli-pooleli-uurile-and-3198529.html?nr=15&search_key=1ec02901cb97b699cb2c574ae226502a
1265,9740,Pärnumaa, Pärnu, Rääma,https://www.kv.ee/hea-logistilise-asukoha-ja-nahtavusega-uus-ehitata-3175614.html?nr=16&search_key=1ec02901cb97b699cb2c574ae226502a
110,1766,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-ilus-buroo-2020-a-alguses-valmivas-par-3182465.html?nr=17&search_key=1ec02901cb97b699cb2c574ae226502a
25,180,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/anda-uurile-aripind-kassi-4-arimajas-mustamael-uld-3178895.html?nr=18&search_key=1ec02901cb97b699cb2c574ae226502a
594,4000,Harjumaa, Rae vald, Peetri,https://www.kv.ee/vaga-hea-asukohaga-ning-omaette-kinnise-territoori-3200386.html?nr=19&search_key=1ec02901cb97b699cb2c574ae226502a
224,1568,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-tallinna-kesklinnas-aadressil-parnu-mn-3182175.html?nr=20&search_key=1ec02901cb97b699cb2c574ae226502a
64,1156,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-eksklusiivne-buroo-2020-aasta-alguses-3184933.html?nr=21&search_key=1ec02901cb97b699cb2c574ae226502a
142,994,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-aktiivses-parnu-mnt-aripiirkonnas-142-3188301.html?nr=22&search_key=1ec02901cb97b699cb2c574ae226502a
560,3730,Harjumaa, Tallinn, Haabersti,https://www.kv.ee/paldiski-mnt-aarde-on-rajamisel-uus-ari-teenindus-3138895.html?nr=23&search_key=1ec02901cb97b699cb2c574ae226502a
110,400,Harjumaa, Tallinn, Mustamäe,https://www.kv.ee/uurile-antakse-kadaka-tee-42n-arimaja-kogu-kolmas-3142732.html?nr=24&search_key=1ec02901cb97b699cb2c574ae226502a
600,3000,Harjumaa, Harku vald, Harkujärve,https://www.kv.ee/uurile-anda-tallinna-linna-piiril-aadressil-jarvek-3182166.html?nr=25&search_key=1ec02901cb97b699cb2c574ae226502a
473,5680,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-kogu-10-korrust-holmav-buroo-lelle-24-3154062.html?nr=26&search_key=1ec02901cb97b699cb2c574ae226502a
805,10274,Harjumaa, Tallinn, Kesklinn,https://www.kv.ee/uurile-anda-buroo-2020-aasta-septembris-valmivas-e-3200570.html?nr=27&search_key=1ec02901cb97b699cb2c574ae226502a
109,1190,Pärnumaa, Pärnu, Kesklinn,https://www.kv.ee/linna-keskseima-asukohaga-uues-arihoones-martensi-3124002.html?nr=28&search_key=1ec02901cb97b699cb2c574ae226502a
